checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
1,0,3,1169.0,0,4,0,67.0,2,1
2,2,3,5951.0,1,2,3,22.0,2,0
0,0,6,2096.0,1,3,0,49.0,1,1
1,2,4,7882.0,1,3,0,45.0,2,1
1,1,9,4870.0,1,2,0,53.0,2,0
0,2,6,9055.0,0,2,0,35.0,1,1
0,2,4,2835.0,3,4,0,53.0,2,1
2,2,8,6948.0,1,2,0,35.0,3,1
0,2,3,3059.0,4,3,2,61.0,1,1
2,0,9,5234.0,1,0,1,28.0,3,0
2,2,9,1295.0,1,1,3,25.0,2,0
1,2,7,4308.0,1,1,3,24.0,2,0
2,2,3,1567.0,1,2,3,22.0,2,1
1,0,9,1199.0,1,4,0,60.0,1,0
1,2,9,1403.0,1,2,3,28.0,2,1
1,2,3,1282.0,2,2,3,32.0,1,0
0,0,3,2424.0,0,4,0,53.0,2,1
1,4,7,8072.0,0,1,0,25.0,2,1
2,2,8,12579.0,1,4,3,44.0,3,0
0,2,3,3430.0,3,4,0,31.0,2,1
0,0,9,2134.0,1,2,0,48.0,2,1
1,2,3,2647.0,3,2,0,44.0,2,1
1,0,9,2241.0,1,1,0,48.0,1,1
2,0,8,1804.0,2,1,0,44.0,2,1
0,0,4,2069.0,0,2,1,26.0,2,1
1,2,4,1374.0,1,2,0,33,1,1
0,4,3,426.0,1,4,1,39.0,1,1
3,3,3,409.0,4,2,3,42.0,2,1
2,2,3,2415.0,1,2,0,34.0,2,1
1,1,7,6836.0,1,4,0,63.0,2,0
2,2,7,1913.0,4,1,1,36.0,2,1
1,2,4,4020.0,1,2,0,27.0,2,1
2,2,9,5866.0,2,2,0,30.0,2,1
0,0,7,1264.0,0,4,0,57.0,1,1
3,2,4,1474.0,1,1,3,33.0,3,1
2,0,3,4746.0,1,1,0,25.0,1,0
0,0,6,6110.0,1,2,0,31.0,2,1
3,2,3,2100.0,1,2,0,37.0,2,0
3,2,2,1225.0,1,2,0,37.0,2,1
2,2,3,458.0,1,2,0,24.0,2,1
0,2,3,2333.0,3,4,0,30.0,3,1
2,2,3,1158.0,3,2,2,26.0,2,1
2,1,1,6204.0,1,2,0,44.0,1,1
1,0,8,6187.0,2,3,1,24.0,2,1
1,0,8,6143.0,1,4,3,58.0,1,0
0,0,9,1393.0,1,1,3,35.0,3,1
0,2,3,2299.0,3,4,0,39.0,2,1
1,2,8,1352.0,3,0,3,23.0,0,1
0,0,9,7228.0,1,2,0,39.0,1,1
0,2,3,2073.0,2,2,3,28.0,2,1
2,1,4,2333.0,0,1,0,29.0,1,1
2,1,8,5965.0,1,4,0,30.0,3,1
0,2,3,1262.0,1,2,0,25.0,2,1
0,2,8,3378.0,0,2,0,33,2,1
2,1,9,2225.0,1,4,0,57.0,2,0
0,3,9,783.0,0,2,0,26.0,1,1
2,2,3,6468.0,0,0,0,52.0,3,0
0,0,3,9566.0,1,2,3,31.0,2,1
3,2,9,1961.0,1,4,3,23.0,3,1
1,0,4,6229.0,1,1,3,23.0,1,0
2,2,7,1391.0,1,2,1,27.0,2,1
2,0,3,1537.0,0,4,0,50.0,2,1
2,4,7,1953.0,1,4,0,61.0,3,0
2,4,7,14421.0,1,2,0,25.0,2,0
0,2,3,3181.0,1,1,3,26.0,2,1
0,2,1,5190.0,0,4,0,48.0,2,1
0,2,3,2171.0,1,1,3,29.0,2,1
2,2,9,1007.0,4,2,1,22,2,1
0,2,6,1819.0,1,2,0,37.0,2,0
0,2,3,2394.0,0,2,3,25.0,2,1
0,2,8,8133.0,1,2,3,30.0,2,1
0,0,3,730.0,0,4,0,46.0,1,1
1,0,0,1164.0,1,4,0,51.0,3,1
2,0,7,5954.0,1,3,3,41.0,1,1
1,2,6,1977.0,0,4,0,40.0,3,0
1,0,8,1526.0,1,4,0,66.0,3,1
1,2,3,3965.0,1,1,0,34.0,2,0
2,1,3,4771.0,1,3,0,51.0,2,1
0,4,8,9436.0,0,2,0,39.0,1,1
2,2,4,3832.0,1,1,1,22,2,1
0,2,3,5943.0,0,1,3,44.0,2,0
0,2,3,1213.0,3,4,0,47.0,2,1
0,2,7,1568.0,2,2,3,24.0,1,1
1,2,0,1755.0,1,4,3,58.0,1,1
1,2,3,2315.0,1,4,0,52.0,1,1
0,0,7,1412.0,1,2,3,29.0,3,1
2,0,4,1295.0,1,1,3,27.0,2,1
2,2,6,12612.0,2,2,0,47.0,2,0
1,2,9,2249.0,2,3,0,30.0,3,1
1,4,1,1108.0,1,3,0,28.0,2,0
0,0,3,618.0,1,4,0,56.0,2,1
1,0,8,1409.0,1,4,0,54.0,2,1
0,0,3,797.0,0,4,3,33.0,1,0
3,0,4,3617.0,0,4,0,20.0,2,1
2,2,9,1318.0,4,4,0,54.0,2,1
2,4,7,15945.0,1,1,0,58.0,2,0
0,0,6,2012.0,0,3,3,61.0,2,1
2,2,7,2622.0,2,2,0,34.0,2,1
2,0,3,2337.0,1,4,0,36.0,2,1
2,1,8,7057.0,0,3,0,36.0,3,1
0,2,9,1469.0,2,4,1,41.0,1,1
2,2,3,2323.0,1,3,0,24.0,2,1
0,1,3,932.0,1,2,3,24.0,2,1
2,0,4,1919.0,1,3,0,35.0,2,1
0,2,8,2445.0,0,1,1,26.0,2,1
2,0,0,11938.0,1,2,0,39.0,3,0
0,3,9,6458.0,1,4,0,39.0,3,0
2,2,9,6078.0,1,3,0,32.0,2,1
1,2,4,7721.0,0,1,3,30.0,2,1
2,2,7,1410.0,3,4,1,35.0,2,1
2,1,7,1449.0,2,4,2,31.0,2,1
3,2,6,392.0,1,1,3,23.0,2,1
2,2,9,6260.0,1,3,0,28.0,1,1
0,0,9,7855.0,1,2,3,25.0,2,0
1,2,3,1680.0,3,4,1,35.0,2,1
0,0,3,3578.0,0,4,0,47.0,2,1
1,2,3,7174.0,0,3,3,30.0,3,0
1,0,4,2132.0,0,1,3,27.0,2,1
1,0,4,4281.0,3,2,3,23.0,2,0
2,0,9,2366.0,3,3,2,36.0,3,1
1,2,3,1835.0,1,2,3,25.0,2,0
0,0,8,3868.0,1,4,3,41.0,3,1
0,2,4,1768.0,1,2,0,24.0,1,1
3,0,9,781.0,1,4,0,63.0,2,1
2,2,4,1924.0,0,1,3,27.0,2,0
1,0,9,2121.0,1,2,0,30.0,2,1
1,2,3,701.0,1,2,1,40.0,1,1
2,2,1,639.0,1,2,0,30.0,2,0
2,0,8,1860.0,1,0,0,34.0,3,1
1,0,9,3499.0,1,2,3,29.0,2,0
2,2,9,8487.0,0,3,3,24.0,2,1
1,1,6,6887.0,1,2,0,29.0,2,0
0,2,4,2708.0,1,1,0,27.0,1,1
0,2,4,1984.0,1,2,0,47.0,2,1
0,2,3,10144.0,2,3,3,21.0,2,1
0,0,3,1240.0,0,4,3,38.0,2,1
0,1,8,8613.0,4,2,0,27.0,2,1
2,2,3,766.0,3,2,0,66.0,1,0
2,0,3,2728.0,0,3,0,35.0,2,1
3,2,3,1881.0,1,2,3,44.0,1,1
3,2,9,709.0,4,1,1,27.0,0,1
