case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
1.0,<0,critical/other existing credit,radio/tv,1169.0,no known savings,>=7,male single,67.0,skilled,good
2.0,0<=X<200,existing paid,radio/tv,5951.0,<100,1<=X<4,female div/sep/mar,22.0,skilled,bad
3.0,no checking,critical/other existing credit,education,2096.0,<100,4<=X<7,male single,49.0,unskilled resident,good
4.0,<0,existing paid,furniture/equipment,7882.0,<100,4<=X<7,male single,45.0,skilled,good
5.0,<0,delayed previously,new car,4870.0,<100,1<=X<4,male single,53.0,skilled,bad
6.0,no checking,existing paid,education,9055.0,no known savings,1<=X<4,male single,35.0,unskilled resident,good
7.0,no checking,existing paid,furniture/equipment,2835.0,500<=X<1000,>=7,male single,53.0,skilled,good
8.0,0<=X<200,existing paid,used car,6948.0,<100,1<=X<4,male single,35.0,high qualif/self emp/mgmt,good
9.0,no checking,existing paid,radio/tv,3059.0,>=1000,4<=X<7,male div/sep,61.0,unskilled resident,good
10.0,0<=X<200,critical/other existing credit,new car,5234.0,<100,unemployed,male mar/wid,28.0,high qualif/self emp/mgmt,bad
11.0,0<=X<200,existing paid,new car,1295.0,<100,<1,female div/sep/mar,25.0,skilled,bad
12.0,<0,existing paid,business,4308.0,<100,<1,female div/sep/mar,24.0,skilled,bad
13.0,0<=X<200,existing paid,radio/tv,1567.0,<100,1<=X<4,female div/sep/mar,22.0,skilled,good
14.0,<0,critical/other existing credit,new car,1199.0,<100,>=7,male single,60.0,unskilled resident,bad
15.0,<0,existing paid,new car,1403.0,<100,1<=X<4,female div/sep/mar,28.0,skilled,good
16.0,<0,existing paid,radio/tv,1282.0,100<=X<500,1<=X<4,female div/sep/mar,32.0,unskilled resident,bad
17.0,no checking,critical/other existing credit,radio/tv,2424.0,no known savings,>=7,male single,53.0,skilled,good
18.0,<0,no credits/all paid,business,8072.0,no known savings,<1,male single,25.0,skilled,good
19.0,0<=X<200,existing paid,used car,12579.0,<100,>=7,female div/sep/mar,44.0,high qualif/self emp/mgmt,bad
20.0,no checking,existing paid,radio/tv,3430.0,500<=X<1000,>=7,male single,31.0,skilled,good
21.0,no checking,critical/other existing credit,new car,2134.0,<100,1<=X<4,male single,48.0,skilled,good
22.0,<0,existing paid,radio/tv,2647.0,500<=X<1000,1<=X<4,male single,44.0,skilled,good
23.0,<0,critical/other existing credit,new car,2241.0,<100,<1,male single,48.0,unskilled resident,good
24.0,0<=X<200,critical/other existing credit,used car,1804.0,100<=X<500,<1,male single,44.0,skilled,good
25.0,no checking,critical/other existing credit,furniture/equipment,2069.0,no known savings,1<=X<4,male mar/wid,26.0,skilled,good
26.0,<0,existing paid,furniture/equipment,1374.0,<100,1<=X<4,male single,33,unskilled resident,good
27.0,no checking,no credits/all paid,radio/tv,426.0,<100,>=7,male mar/wid,39.0,unskilled resident,good
28.0,>=200,all paid,radio/tv,409.0,>=1000,1<=X<4,female div/sep/mar,42.0,skilled,good
29.0,0<=X<200,existing paid,radio/tv,2415.0,<100,1<=X<4,male single,34.0,skilled,good
30.0,<0,delayed previously,business,6836.0,<100,>=7,male single,63.0,skilled,bad
31.0,0<=X<200,existing paid,business,1913.0,>=1000,<1,male mar/wid,36.0,skilled,good
32.0,<0,existing paid,furniture/equipment,4020.0,<100,1<=X<4,male single,27.0,skilled,good
