@relation creditRefinedMixedAttributesNoCase_No-csv

@attribute checking_status numeric
@attribute credit_history numeric
@attribute purpose numeric
@attribute credit_amount numeric
@attribute saving_status numeric
@attribute employment numeric
@attribute personal_status numeric
@attribute age numeric
@attribute job numeric
@attribute class numeric

@data
1,0,3,1169,0,4,0,67,2,1
2,2,3,5951,1,2,3,22,2,0
0,0,6,2096,1,3,0,49,1,1
1,2,4,7882,1,3,0,45,2,1
1,1,9,4870,1,2,0,53,2,0
0,2,6,9055,0,2,0,35,1,1
0,2,4,2835,3,4,0,53,2,1
2,2,8,6948,1,2,0,35,3,1
0,2,3,3059,4,3,2,61,1,1
2,0,9,5234,1,0,1,28,3,0
2,2,9,1295,1,1,3,25,2,0
1,2,7,4308,1,1,3,24,2,0
2,2,3,1567,1,2,3,22,2,1
1,0,9,1199,1,4,0,60,1,0
1,2,9,1403,1,2,3,28,2,1
1,2,3,1282,2,2,3,32,1,0
0,0,3,2424,0,4,0,53,2,1
1,4,7,8072,0,1,0,25,2,1
2,2,8,12579,1,4,3,44,3,0
0,2,3,3430,3,4,0,31,2,1
0,0,9,2134,1,2,0,48,2,1
1,2,3,2647,3,2,0,44,2,1
1,0,9,2241,1,1,0,48,1,1
2,0,8,1804,2,1,0,44,2,1
0,0,4,2069,0,2,1,26,2,1
1,2,4,1374,1,2,0,33,1,1
0,4,3,426,1,4,1,39,1,1
3,3,3,409,4,2,3,42,2,1
2,2,3,2415,1,2,0,34,2,1
1,1,7,6836,1,4,0,63,2,0
2,2,7,1913,4,1,1,36,2,1
1,2,4,4020,1,2,0,27,2,1
2,2,9,5866,2,2,0,30,2,1
0,0,7,1264,0,4,0,57,1,1
3,2,4,1474,1,1,3,33,3,1
2,0,3,4746,1,1,0,25,1,0
0,0,6,6110,1,2,0,31,2,1
3,2,3,2100,1,2,0,37,2,0
3,2,2,1225,1,2,0,37,2,1
2,2,3,458,1,2,0,24,2,1
0,2,3,2333,3,4,0,30,3,1
2,2,3,1158,3,2,2,26,2,1
2,1,1,6204,1,2,0,44,1,1
1,0,8,6187,2,3,1,24,2,1
1,0,8,6143,1,4,3,58,1,0
0,0,9,1393,1,1,3,35,3,1
0,2,3,2299,3,4,0,39,2,1
1,2,8,1352,3,0,3,23,0,1
0,0,9,7228,1,2,0,39,1,1
0,2,3,2073,2,2,3,28,2,1
2,1,4,2333,0,1,0,29,1,1
2,1,8,5965,1,4,0,30,3,1
0,2,3,1262,1,2,0,25,2,1
0,2,8,3378,0,2,0,33,2,1
2,1,9,2225,1,4,0,57,2,0
0,3,9,783,0,2,0,26,1,1
2,2,3,6468,0,0,0,52,3,0
0,0,3,9566,1,2,3,31,2,1
3,2,9,1961,1,4,3,23,3,1
1,0,4,6229,1,1,3,23,1,0
2,2,7,1391,1,2,1,27,2,1
2,0,3,1537,0,4,0,50,2,1
2,4,7,1953,1,4,0,61,3,0
2,4,7,14421,1,2,0,25,2,0
0,2,3,3181,1,1,3,26,2,1
0,2,1,5190,0,4,0,48,2,1
0,2,3,2171,1,1,3,29,2,1
2,2,9,1007,4,2,1,22,2,1
0,2,6,1819,1,2,0,37,2,0
0,2,3,2394,0,2,3,25,2,1
0,2,8,8133,1,2,3,30,2,1
0,0,3,730,0,4,0,46,1,1
1,0,0,1164,1,4,0,51,3,1
2,0,7,5954,1,3,3,41,1,1
1,2,6,1977,0,4,0,40,3,0
1,0,8,1526,1,4,0,66,3,1
1,2,3,3965,1,1,0,34,2,0
2,1,3,4771,1,3,0,51,2,1
0,4,8,9436,0,2,0,39,1,1
2,2,4,3832,1,1,1,22,2,1
0,2,3,5943,0,1,3,44,2,0
0,2,3,1213,3,4,0,47,2,1
0,2,7,1568,2,2,3,24,1,1
1,2,0,1755,1,4,3,58,1,1
1,2,3,2315,1,4,0,52,1,1
0,0,7,1412,1,2,3,29,3,1
2,0,4,1295,1,1,3,27,2,1
2,2,6,12612,2,2,0,47,2,0
1,2,9,2249,2,3,0,30,3,1
1,4,1,1108,1,3,0,28,2,0
0,0,3,618,1,4,0,56,2,1
1,0,8,1409,1,4,0,54,2,1
0,0,3,797,0,4,3,33,1,0
3,0,4,3617,0,4,0,20,2,1
2,2,9,1318,4,4,0,54,2,1
2,4,7,15945,1,1,0,58,2,0
0,0,6,2012,0,3,3,61,2,1
